epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.7565,0.85425,3.36752,1.25319,0.01788,1,0.3683,0.24248,0.61003,3.84491,1.21209,0.0001,0.0001,0.0001
2,59.2894,0.78953,2.95849,1.20877,0.01405,1,0.4325,0.27752,0.71624,3.65143,1.22158,0.000206752,0.000206752,0.000206752
3,86.885,0.79409,2.45232,1.18151,1,0.12202,0.37168,0.27402,0.73068,3.11954,1.20059,0.0003101,0.0003101,0.0003101
4,114.312,0.80906,2.1487,1.21062,1,0.12741,0.60869,0.43658,0.9609,3.13181,1.43522,0.000410045,0.000410045,0.000410045
5,143.417,0.84939,2.07702,1.25441,0.80198,0.41386,0.61068,0.44369,1.04539,2.68837,1.62268,0.000506588,0.000506588,0.000506588
6,176.601,0.79951,1.84559,1.21347,0.89526,0.37469,0.63372,0.48887,0.99623,2.71262,1.50158,0.000599727,0.000599727,0.000599727
7,210.702,0.8084,1.7732,1.18417,0.45731,0.47905,0.43026,0.23531,1.08647,2.77141,1.55969,0.000689463,0.000689463,0.000689463
8,243.422,0.84041,1.70516,1.22144,0.62674,0.25333,0.31523,0.21209,1.09694,2.70317,1.65012,0.000775795,0.000775795,0.000775795
9,270.128,0.83494,1.56025,1.18018,0.53136,0.88,0.68014,0.43905,1.05141,2.47207,1.5013,0.000858725,0.000858725,0.000858725
10,296.129,0.84039,1.57878,1.18868,0.76691,0.74315,0.83874,0.51689,1.10241,1.86578,1.51992,0.000860781,0.000860781,0.000860781
11,322.836,0.80942,1.49098,1.18425,0.83958,0.48487,0.76333,0.53451,1.13444,2.14686,1.59978,0.000845313,0.000845313,0.000845313
12,349.271,0.81152,1.45459,1.1617,0.73615,0.46095,0.72687,0.38993,1.11625,2.58531,1.657,0.000829844,0.000829844,0.000829844
13,380.6,0.77075,1.39524,1.15336,0.63655,0.48952,0.72332,0.50649,1.28464,2.55843,1.86693,0.000814375,0.000814375,0.000814375
14,413.835,0.71402,1.3315,1.1305,0.87037,0.48336,0.79032,0.5587,1.0799,2.18532,1.53243,0.000798906,0.000798906,0.000798906
15,442.621,0.77036,1.32639,1.14663,0.67269,0.71524,0.57782,0.40616,1.12516,2.22351,1.55615,0.000783438,0.000783438,0.000783438
16,474.677,0.75921,1.2998,1.12357,0.93381,0.46119,0.82552,0.59062,0.95457,1.92128,1.35339,0.000767969,0.000767969,0.000767969
17,506.352,0.72617,1.25345,1.12948,0.87381,0.75455,0.80628,0.55981,0.9507,1.80735,1.39988,0.0007525,0.0007525,0.0007525
18,538.099,0.72786,1.20292,1.11846,0.92701,0.70533,0.97873,0.77353,0.85376,1.58792,1.2822,0.000737031,0.000737031,0.000737031
19,570.945,0.71914,1.16259,1.10423,0.67033,0.78667,0.97993,0.63513,0.83938,1.52249,1.23253,0.000721562,0.000721562,0.000721562
20,602.652,0.72589,1.14483,1.12438,0.77836,0.57238,0.83856,0.5258,0.7678,1.61133,1.19078,0.000706094,0.000706094,0.000706094
21,634.247,0.69919,1.14063,1.1042,0.70062,0.77238,0.97067,0.73774,0.8034,1.55133,1.27053,0.000690625,0.000690625,0.000690625
22,665.88,0.68809,1.08895,1.09336,0.65001,0.98667,0.97957,0.79971,0.77769,1.39385,1.28136,0.000675156,0.000675156,0.000675156
23,697.444,0.71484,1.08711,1.09972,0.91568,0.75905,0.8824,0.69773,0.80723,1.36043,1.2695,0.000659688,0.000659688,0.000659688
