epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.43143,0.65109,2.31027,1.05463,0.00333,1,0.695,0.22818,0.29888,3.08701,1.16043,0,0,0
2,2.45981,0.65642,2.4018,1.17184,0.00333,1,0.695,0.29762,0.29553,3.09068,1.14548,1.9604e-05,1.9604e-05,1.9604e-05
3,3.46922,0.88356,2.57652,1.18267,0.00333,1,0.695,0.32794,0.29766,3.09092,1.15865,3.8416e-05,3.8416e-05,3.8416e-05
4,4.4753,0.5992,2.32441,1.13235,0.00333,1,0.745,0.5215,0.33572,3.11233,1.21049,5.6436e-05,5.6436e-05,5.6436e-05
5,5.49265,1.11909,2.58705,1.42811,0.00333,1,0.745,0.52138,0.44121,3.14351,1.31603,7.3664e-05,7.3664e-05,7.3664e-05
6,6.49256,0.80276,2.32043,0.99317,0.00333,1,0.695,0.48358,0.53677,3.20355,1.43808,9.01e-05,9.01e-05,9.01e-05
7,7.481,0.51311,2.0707,0.99023,0.00333,1,0.695,0.46203,0.56968,3.17945,1.51566,0.000105744,0.000105744,0.000105744
8,8.50581,0.58094,2.06091,1.06547,0.00333,1,0.745,0.5215,0.53254,3.20275,1.57908,0.000120596,0.000120596,0.000120596
9,9.53989,0.41823,2.00503,1.03705,0.00333,1,0.745,0.50105,0.6098,3.20807,1.51202,0.000134656,0.000134656,0.000134656
10,10.5649,0.37439,1.89599,0.93907,0.00333,1,0.82833,0.54654,0.55081,3.16513,1.31207,0.000147924,0.000147924,0.000147924
11,11.6171,0.46725,1.66097,0.97752,0.00333,1,0.745,0.49654,0.52492,3.11221,1.28036,0.0001604,0.0001604,0.0001604
12,12.6156,0.38919,1.46418,0.93137,0.00333,1,0.745,0.57814,0.49633,3.06306,1.21949,0.000172084,0.000172084,0.000172084
13,13.6421,0.37962,1.20819,0.94254,0.00333,1,0.66333,0.53871,0.47598,3.05093,1.14812,0.000182976,0.000182976,0.000182976
14,14.6299,0.63186,1.44656,1.29542,0.00333,1,0.745,0.59563,0.48931,3.01239,1.21687,0.000193076,0.000193076,0.000193076
15,15.6335,0.46492,1.19761,1.0947,0.00333,1,0.995,0.74563,0.42311,2.93829,1.22755,0.000202384,0.000202384,0.000202384
16,16.6485,0.45251,1.11876,0.86566,0.00333,1,0.995,0.7384,0.44321,2.85818,1.12169,0.0002109,0.0002109,0.0002109
17,17.6211,0.74927,1.49545,1.12058,0.00333,1,0.995,0.75544,0.4531,2.76392,1.12028,0.000218624,0.000218624,0.000218624
18,18.5708,0.49843,1.07103,0.96683,0.00333,1,0.995,0.75544,0.4531,2.76392,1.12028,0.000225556,0.000225556,0.000225556
19,19.5358,0.52079,1.19717,0.98473,0.00333,1,0.995,0.7705,0.45897,2.82087,1.11239,0.000231696,0.000231696,0.000231696
20,20.5211,0.39759,1.01408,1.00188,0.00333,1,0.995,0.7705,0.45897,2.82087,1.11239,0.000237044,0.000237044,0.000237044
21,21.5242,0.41498,1.01368,0.98729,0.00333,1,0.995,0.7455,0.52495,2.9341,1.18601,0.0002416,0.0002416,0.0002416
