epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.755,0.77658,2.86603,1.21985,0.7613,0.26064,0.51114,0.39198,0.78526,2.38951,1.25806,0.000327044,0.000327044,0.000327044
2,33.7048,0.76969,1.77022,1.20237,0.61002,0.56188,0.63514,0.49716,0.76906,2.29414,1.19822,0.000650162,0.000650162,0.000650162
3,48.777,0.78833,1.57077,1.2034,0.64584,0.68014,0.66246,0.49179,0.91941,1.68416,1.32897,0.000962968,0.000962968,0.000962968
4,64.5544,0.78527,1.46536,1.18924,0.70488,0.53222,0.58472,0.41128,0.96609,1.64226,1.39663,0.000953594,0.000953594,0.000953594
5,79.4116,0.77174,1.32982,1.18092,0.709,0.62688,0.67085,0.49936,0.86428,1.54252,1.25528,0.000938125,0.000938125,0.000938125
6,94.2526,0.76267,1.32055,1.18943,0.6237,0.50598,0.56508,0.37124,1.1669,1.88129,1.63774,0.000922656,0.000922656,0.000922656
7,109.052,0.76158,1.21208,1.16313,0.77327,0.65897,0.79218,0.60489,0.8542,1.29413,1.26377,0.000907188,0.000907188,0.000907188
8,123.845,0.73122,1.13611,1.1609,0.77526,0.6932,0.76527,0.56439,0.85617,1.24491,1.28414,0.000891719,0.000891719,0.000891719
9,138.501,0.72607,1.0883,1.15118,0.73406,0.71359,0.76446,0.58171,0.83817,1.18081,1.27013,0.00087625,0.00087625,0.00087625
10,153.324,0.69497,1.01573,1.1337,0.74433,0.91038,0.88511,0.7115,0.73756,0.79406,1.16844,0.000860781,0.000860781,0.000860781
11,168.809,0.68616,0.96166,1.11292,0.88138,0.82297,0.89937,0.72231,0.73256,0.76892,1.15881,0.000845313,0.000845313,0.000845313
12,183.353,0.68296,0.93442,1.11059,0.76028,0.78734,0.85751,0.70804,0.67594,0.90692,1.10879,0.000829844,0.000829844,0.000829844
13,198.053,0.69264,0.90158,1.12756,0.7837,0.87281,0.90299,0.74053,0.73552,0.84958,1.14599,0.000814375,0.000814375,0.000814375
14,212.762,0.66985,0.8337,1.09526,0.83993,0.82885,0.89722,0.7344,0.67795,0.7605,1.1109,0.000798906,0.000798906,0.000798906
15,227.508,0.68946,0.87647,1.11939,0.92895,0.84489,0.9209,0.7717,0.66349,0.63643,1.08833,0.000783438,0.000783438,0.000783438
16,242.326,0.67218,0.87328,1.10513,0.85533,0.91102,0.91986,0.75678,0.67264,0.64521,1.11667,0.000767969,0.000767969,0.000767969
17,257.254,0.64821,0.81222,1.08831,0.86348,0.82868,0.8853,0.7344,0.68844,0.84098,1.11245,0.0007525,0.0007525,0.0007525
18,272.227,0.68679,0.82747,1.11377,0.8938,0.81881,0.89746,0.73927,0.68678,0.71088,1.09406,0.000737031,0.000737031,0.000737031
19,287.619,0.67188,0.80307,1.1121,0.8531,0.80126,0.87438,0.72718,0.64981,0.7375,1.07863,0.000721562,0.000721562,0.000721562
20,302.381,0.64236,0.76409,1.08943,0.88703,0.9063,0.93768,0.78954,0.67772,0.58893,1.12603,0.000706094,0.000706094,0.000706094
21,317.052,0.63806,0.72501,1.08789,0.89629,0.85413,0.90912,0.75991,0.67415,0.68322,1.09694,0.000690625,0.000690625,0.000690625
22,331.504,0.65768,0.77291,1.11833,0.87711,0.77454,0.8389,0.67779,0.735,0.8296,1.13887,0.000675156,0.000675156,0.000675156
23,346.53,0.64639,0.71754,1.08989,0.88592,0.87871,0.92097,0.76003,0.69115,0.63027,1.11794,0.000659688,0.000659688,0.000659688
24,361.195,0.61795,0.70928,1.07665,0.81747,0.87084,0.89824,0.76365,0.62642,0.80614,1.05279,0.000644219,0.000644219,0.000644219
25,376.013,0.62099,0.71814,1.08134,0.9071,0.86286,0.93073,0.79307,0.6355,0.6008,1.0275,0.00062875,0.00062875,0.00062875
26,391.296,0.6072,0.64472,1.07164,0.90951,0.89176,0.939,0.78449,0.62674,0.56638,1.05438,0.000613281,0.000613281,0.000613281
27,405.936,0.62157,0.67502,1.08412,0.94761,0.89269,0.94208,0.78477,0.62405,0.5402,1.06055,0.000597812,0.000597812,0.000597812
28,420.661,0.61056,0.66162,1.0807,0.87467,0.90666,0.91269,0.77772,0.63326,0.57815,1.06347,0.000582344,0.000582344,0.000582344
29,435.09,0.61022,0.63195,1.07269,0.90665,0.88693,0.92397,0.78519,0.65019,0.57819,1.0861,0.000566875,0.000566875,0.000566875
30,449.521,0.60599,0.62077,1.08147,0.90501,0.90763,0.93187,0.7976,0.6282,0.51797,1.06515,0.000551406,0.000551406,0.000551406
31,463.875,0.60507,0.61093,1.06944,0.87745,0.90825,0.93377,0.79747,0.64983,0.56476,1.09738,0.000535937,0.000535937,0.000535937
32,478.397,0.5913,0.58416,1.05825,0.89254,0.91064,0.93571,0.79657,0.62248,0.56561,1.06909,0.000520469,0.000520469,0.000520469
33,493.297,0.59526,0.60187,1.06688,0.90985,0.89373,0.92274,0.78506,0.59766,0.53336,1.02597,0.000505,0.000505,0.000505
34,508.47,0.59604,0.58968,1.06704,0.91691,0.89108,0.93567,0.8063,0.58847,0.55951,1.02066,0.000489531,0.000489531,0.000489531
35,522.945,0.58548,0.57852,1.05117,0.9106,0.88461,0.94373,0.80524,0.59179,0.51662,1.03221,0.000474062,0.000474062,0.000474062
36,537.254,0.58743,0.60289,1.06281,0.93489,0.92515,0.94739,0.8065,0.63658,0.49397,1.05979,0.000458594,0.000458594,0.000458594
37,551.702,0.56504,0.56655,1.05703,0.9064,0.90654,0.94136,0.80756,0.59572,0.51019,1.03198,0.000443125,0.000443125,0.000443125
38,566.202,0.54449,0.55559,1.03162,0.90786,0.91374,0.94122,0.81695,0.59302,0.48323,1.03157,0.000427656,0.000427656,0.000427656
39,580.832,0.5646,0.55243,1.05367,0.89819,0.93985,0.94396,0.82207,0.60995,0.46117,1.04429,0.000412188,0.000412188,0.000412188
40,596.269,0.56221,0.5454,1.04409,0.91901,0.90904,0.94939,0.82062,0.58535,0.45594,1.01053,0.000396719,0.000396719,0.000396719
41,611.231,0.5443,0.50827,1.03804,0.93526,0.89584,0.93863,0.81745,0.63437,0.51223,1.06491,0.00038125,0.00038125,0.00038125
42,625.709,0.57416,0.53561,1.0497,0.91668,0.91652,0.94327,0.81869,0.62475,0.44479,1.03741,0.000365781,0.000365781,0.000365781
43,640.396,0.56493,0.52682,1.0457,0.92347,0.89285,0.944,0.80808,0.609,0.486,1.03284,0.000350313,0.000350313,0.000350313
