epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3409,0.77183,2.82608,1.19097,0.61488,0.33886,0.56686,0.43958,0.72947,2.2749,1.24615,0.000327381,0.000327381,0.000327381
2,34.382,0.77624,1.66995,1.16703,0.67926,0.65662,0.70176,0.52667,0.80061,1.57619,1.30557,0.000658159,0.000658159,0.000658159
3,49.3181,0.77332,1.44779,1.15252,0.60525,0.61679,0.6612,0.47909,1.00867,1.70849,1.40259,0.000986359,0.000986359,0.000986359
4,64.111,0.79054,1.38368,1.16071,0.52189,0.50885,0.43817,0.2858,1.05766,2.30249,1.5627,0.000988398,0.000988398,0.000988398
5,78.9544,0.7752,1.26823,1.14956,0.77725,0.72059,0.82195,0.64121,0.74285,1.13059,1.20103,0.000984531,0.000984531,0.000984531
6,94.2839,0.75977,1.1938,1.14228,0.73247,0.61497,0.72997,0.5174,0.96102,1.43784,1.35496,0.000980664,0.000980664,0.000980664
7,109.432,0.7589,1.1521,1.14272,0.81846,0.78013,0.84706,0.66679,0.73593,0.98089,1.19222,0.000976797,0.000976797,0.000976797
8,124.076,0.74226,1.11509,1.12958,0.79113,0.70208,0.77446,0.59865,0.81052,1.45842,1.24839,0.00097293,0.00097293,0.00097293
9,138.74,0.72248,1.03028,1.11888,0.80141,0.79814,0.85684,0.69116,0.74951,0.88315,1.18069,0.000969063,0.000969063,0.000969063
10,153.12,0.71187,0.99496,1.11704,0.69023,0.65277,0.76449,0.58919,0.7977,1.17684,1.21753,0.000965195,0.000965195,0.000965195
11,167.944,0.72987,0.98424,1.1093,0.79062,0.80937,0.84588,0.67369,0.78768,0.90992,1.20735,0.000961328,0.000961328,0.000961328
12,182.694,0.72762,0.97377,1.11371,0.84952,0.64653,0.82243,0.65185,0.73336,1.12195,1.17591,0.000957461,0.000957461,0.000957461
13,198.557,0.71182,0.88332,1.09794,0.84227,0.79717,0.85658,0.69996,0.70504,0.87171,1.13745,0.000953594,0.000953594,0.000953594
14,213.51,0.68139,0.86114,1.0838,0.7768,0.83315,0.8907,0.73145,0.69641,0.85695,1.1286,0.000949727,0.000949727,0.000949727
15,228.231,0.70331,0.88496,1.09608,0.84161,0.79587,0.83939,0.66136,0.69445,0.91916,1.12291,0.000945859,0.000945859,0.000945859
16,242.982,0.71589,0.88007,1.11995,0.82768,0.80158,0.90752,0.74617,0.67977,0.79153,1.12547,0.000941992,0.000941992,0.000941992
17,257.617,0.69123,0.83529,1.0907,0.83074,0.84185,0.88995,0.72002,0.71048,0.80316,1.15096,0.000938125,0.000938125,0.000938125
18,272.82,0.67228,0.81784,1.08485,0.89256,0.811,0.871,0.68988,0.80952,0.83861,1.20459,0.000934258,0.000934258,0.000934258
19,287.953,0.66376,0.72878,1.08183,0.82876,0.88248,0.87917,0.73135,0.71026,0.6903,1.1169,0.000930391,0.000930391,0.000930391
20,303.029,0.67706,0.76209,1.06957,0.68392,0.73956,0.81011,0.63604,0.77406,0.97715,1.22292,0.000926523,0.000926523,0.000926523
21,317.981,0.66753,0.7402,1.07048,0.8299,0.7645,0.8619,0.68862,0.72781,0.95648,1.16266,0.000922656,0.000922656,0.000922656
22,332.666,0.67434,0.7753,1.06826,0.87654,0.8213,0.87265,0.71472,0.7086,0.77943,1.12003,0.000918789,0.000918789,0.000918789
23,347.795,0.65765,0.72324,1.07081,0.9275,0.81857,0.91915,0.7675,0.67407,0.69406,1.10932,0.000914922,0.000914922,0.000914922
24,362.329,0.64265,0.71248,1.06453,0.86074,0.84952,0.90318,0.75432,0.67532,0.69827,1.11988,0.000911055,0.000911055,0.000911055
25,377.142,0.66216,0.73906,1.07596,0.87995,0.83794,0.8859,0.69087,0.73545,0.72999,1.17338,0.000907188,0.000907188,0.000907188
26,393.134,0.65694,0.73015,1.06726,0.87496,0.82485,0.91349,0.77829,0.64059,0.71088,1.06863,0.00090332,0.00090332,0.00090332
27,407.968,0.65246,0.68624,1.063,0.83328,0.83205,0.87877,0.67501,0.75106,0.70314,1.15425,0.000899453,0.000899453,0.000899453
